rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
61.93,234.73067697,14051,208,304,67,-112.2720288262851,8985,0.0633379305186479,0.00044099999999999993,0.3313874701658885,8.745898343514705
63.19,238.39038596999995,14373,215,308,66,-112.03206932253954,9300,0.06292358149842518,0.0004284,-0.7028780383307759,8.710547604211946
63.77,245.14811929999996,14664,222,312,65,-111.54122207413859,9608,0.06289031423294722,0.00041608,0.018912089404775137,8.349879549510444
63.81,247.87206217000002,14893,228,316,65,-113.22691356602,9853,0.06335152885807094,0.00040627999999999997,-0.39221584618981203,8.299602864393547
63.28,253.68345759,15143,234,320,64,-111.22946449175272,10088,0.06248176414264391,0.00039688,-0.9033115998114625,9.146730912874823
63.78,256.23832268,15391,240,324,64,-107.64861684605695,10341,0.061383934610563774,0.00038676,0.2578288098608238,8.019759883051334
64.84,267.4196365,15772,247,328,63,-104.54646499068649,10646,0.06130591310836651,0.00037456,-0.0857732331863156,10.65306431275827
65.47,268.83725344000004,16089,255,332,62,-101.25313364664713,11015,0.05992637261748314,0.0003598,-0.34213379939397176,10.894686056772867
66.83,272.85170466000005,16454,264,336,62,-101.90691148317777,11393,0.059208283200860023,0.00034468,0.21490623257481134,11.758309809061197
67.77,285.52055118,16724,270,340,61,-100.98018896920341,11663,0.05886645849261965,0.00033387999999999994,0.4391892045736313,10.800124474934169
68.53,294.87109799,16987,277,344,61,-101.6798231942313,11935,0.059025239891239575,0.00032299999999999994,-0.06874440291098186,8.604193006243024
68.87,294.41188405,17262,283,348,60,-102.55691925908478,12205,0.0577175271972804,0.00031220000000000005,-1.1241458568354727,9.226998698543495
67.55,292.66723863999994,17503,289,352,60,-100.99687833202128,12456,0.05695080985220111,0.00030216,0.19787566698327355,9.100968253855802
67.25,291.89953356,17734,294,356,60,-99.62214279174805,12688,0.05736122627196641,0.00029288000000000003,0.21548332171193485,8.608227343394839
66.19,290.80253557,17957,299,360,59,-96.91240951250184,12913,0.0569199467745592,0.00028388,-0.03574812356031166,8.386505963667384
65.97,294.42110328999996,18147,304,364,59,-97.52400678269406,13107,0.05690207673197097,0.00027612000000000003,-0.8275812547257606,8.505697199638854
66.22,296.68129985,18358,309,368,59,-97.70453466687884,13313,0.05678289137514574,0.00026788,-0.12056621935750757,8.773405500820704
66.62,299.76647248,18592,314,372,59,-96.93022537231445,13538,0.05649696987260271,0.00025888,-0.6221728048942707,8.773600463513974
67.24,301.51806712999996,18880,320,376,58,-96.39534505208333,13808,0.05718994771440824,0.00024807999999999997,0.8116627266009648,8.860539099375407
67.95,309.44081353999997,19169,328,380,58,-98.43036215645927,14111,0.05834025777285061,0.00023595999999999996,0.29870388621375676,8.754743560912116
69.37,315.93263988,19538,335,384,58,-96.1042426080987,14451,0.05841672166001679,0.00022236,-0.2779042992261377,9.702589629900338
71.72,322.48937801,19967,345,388,57,-97.43331281513187,14854,0.05763649784609781,0.00020623999999999998,-0.0022513432071564047,10.364141170014726
71.04,321.77798928,20233,352,392,57,-95.2533929007394,15174,0.05841879232169746,0.00019343999999999994,0.15884125503626736,9.407780226174888
72.72,319.56720823,20707,363,396,57,-96.3559666386357,15635,0.057914042879861814,0.00017500000000000005,-0.20530029717418882,9.254559812722382
71.54,312.29311069000005,20923,368,400,56,-96.0348356628418,15882,0.05727411113679409,0.00016512000000000005,-0.8081845411658287,9.600651531219482
71.41,315.14608637000003,21192,373,404,56,-96.3669183449667,16097,0.056591523047841964,0.00015652,-0.18008813384126443,9.797715038549704
71.99,320.59836524,21572,382,408,56,-95.17757070440994,16483,0.0550464943443474,0.00014108,-1.4985547413951472,9.638774635917262
72.61,321.72432299,21925,391,412,55,-94.17013156029486,16859,0.053999364536295655,0.00012604000000000003,-0.0427168825621246,9.551368682615218
73.55,325.66640194,22248,399,416,55,-93.93156221688511,17181,0.054277899349669374,0.00011316000000000003,0.4959694191993001,9.494465500475412
74.39,330.12471809000004,22582,406,420,55,-91.5862640753025,17508,0.05445544267209565,0.00010007999999999995,0.6940223774531993,9.747937138487654
75.18,330.86507817,22909,414,424,55,-91.4141277220191,17849,0.05396457993220992,8.643999999999997e-05,-0.35297000262795425,9.54559001690004
74.04,322.36123396,23176,420,428,55,-92.29794590056889,18123,0.053825495794178946,7.547999999999999e-05,-0.1939850492136819,9.819161157759408
73.52,324.2123091000001,23441,426,432,54,-93.43276997616417,18383,0.05361064641099227,6.508000000000003e-05,-0.5735595277265498,10.660296866768284
72.34,322.92010074,23688,432,436,54,-91.31204821268717,18637,0.05341749396175146,5.491999999999997e-05,-1.296652898689111,11.72433427174886
72.3,320.56576784000003,23954,438,440,54,-89.66837310791016,18898,0.053300560801289976,4.447999999999997e-05,0.01565713109448552,12.052791848778725
72.06,319.98192534,24193,444,444,54,-87.63573298378596,19144,0.05322801049739596,3.464000000000001e-05,-0.11469074657985143,12.603250821431478
71.84,324.27833044000005,24446,450,448,54,-86.47429248264858,19393,0.053220291888075213,2.4680000000000035e-05,0.051887915070567815,12.83933779171535
72.23,331.31531298000004,24726,456,452,54,-90.94608892910722,19657,0.05324969062770622,1.4120000000000022e-05,0.41368353496427124,13.419133545695871
73.14,339.54261534,25048,464,456,53,-87.60663438879925,19998,0.05325532175492549,4.80000000000036e-07,-0.6658377111821935,16.304733234903086
