rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
36.513888888888886,57.326124208333326,2629,44,72,58,-1231.912871389678,1613,0.31294976129676355,0.000935325,-47.394500848018765,529.5578502308239
36.578947368421055,62.691100539473695,2780,49,76,56,-1269.2494855608259,1775,0.2878979306135859,0.000931275,-36.60351807730539,818.3706414358957
36.625,68.00823746249999,2930,53,80,55,-1318.9737878747887,1917,0.2742851030182194,0.000927725,-23.174449766004408,799.1763833535684
36.70238095238095,68.34046904761904,3083,57,84,54,-1375.5607659755608,2069,0.2634550279531723,0.000923925,-20.38011421301426,612.6936864608373
36.63636363636363,67.10372951136364,3224,61,88,52,-1408.093793820112,2218,0.25369044985526645,0.0009202,-19.822980196048054,685.9898032163962
36.58695652173913,66.1038700326087,3366,64,92,52,-1433.4512657752405,2359,0.2457384501512234,0.000916675,-15.42889159764999,514.3923152043269
36.458333333333336,63.730979052083335,3500,68,96,51,-1433.904659386837,2489,0.23971061860070084,0.000913425,-11.165856476986047,878.6394893761837
36.39,62.981648019999994,3639,71,100,51,-1455.1073137555804,2623,0.23471990653446742,0.000910075,-6.364149630069733,603.8869018554688
36.47,63.72460886,3793,75,104,50,-1465.1095964298693,2778,0.23133245699627455,0.0009062,-3.799732037754946,587.6346598780433
36.42,63.63900024999999,3934,78,108,49,-1482.8668567288307,2919,0.22875415846224753,0.000902675,-4.7241812867503015,540.4979838709677
36.64,63.89358197000001,4102,83,112,49,-1502.7736418968022,3087,0.22659049339072648,0.000898475,-0.5310889399328897,629.1998056810955
36.76,65.40414768,4258,88,116,48,-1519.813836818788,3246,0.2277559518087201,0.0008945,-2.4501440815809294,455.9696335211033
36.95,66.72760775,4417,92,120,47,-1502.6431998319404,3407,0.22523644081381863,0.0008904750000000001,-4.085274008124373,441.51062721429867
37.13,66.56884921,4577,96,124,47,-1497.0858090049342,3563,0.22323300885526756,0.000886575,-3.4185298916540647,646.7084029348273
36.98,65.66208793,4711,100,128,46,-1465.3868146623884,3705,0.21866588188069208,0.000883025,-7.018478947026389,599.826420375279
37.01,64.96999942999999,4851,104,132,46,-1466.2465627569902,3842,0.21686923347021403,0.0008796,2.5294009149074554,652.482785676655
36.92,63.86326508,4999,108,136,46,-1424.124485325169,3991,0.21390446134515712,0.000875875,-9.227644807583577,460.57474002322635
36.71,61.45381772,5139,111,140,46,-1396.0522077287947,4131,0.20760656467505864,0.000872375,-5.94991238117218,421.3409938267299
36.87,60.51583025,5289,115,144,45,-1371.3768171037946,4283,0.20295846249376023,0.000868575,-2.9979834079742433,366.9527090890067
36.91,61.22666254,5419,118,148,45,-1322.0619574652778,4411,0.19917694768971866,0.000865375,-4.238511246111658,439.92024400499133
36.8,64.58704775,5557,122,152,45,-1282.3152954101563,4547,0.1922885497411092,0.000861975,-5.701653202374776,527.9295227050782
36.97,69.02239021999999,5726,126,156,45,-1257.5371849423364,4706,0.18597651911633356,0.000858,-2.895488290559678,320.7844685145787
37.17,72.84759355999999,5911,130,160,45,-1213.7087483723958,4893,0.18191665477222865,0.000853325,-4.324199201001061,318.46620313856334
37.46,72.63288998,6081,135,164,44,-1164.2796119867369,5066,0.1747796414203422,0.000849,-4.145179697247439,254.04946544558504
37.68,72.87370256,6254,139,168,44,-1116.1232777471128,5237,0.17067983357802682,0.000844725,-8.99800135648769,231.9130968840226
38.01,74.32110552,6430,144,172,44,-1075.8794014670632,5413,0.1604072739454833,0.0008403250000000001,-5.753422919999469,221.50349322232333
38.03,72.96270101,6583,148,176,44,-1039.8090839385986,5571,0.15548275131732225,0.000836375,-3.1861079446971416,279.6328639984131
37.96,68.2903371,6726,152,180,44,-994.7568542480469,5717,0.1495380036532879,0.000832725,-9.93820081949234,216.66106262207032
37.99,67.37091665,6882,156,184,44,-960.7329555413662,5873,0.14367102010127825,0.000828825,-4.989186079074175,243.57433769030447
38.01,69.25853718999998,7025,160,188,43,-907.5724635268703,6018,0.1354447038787784,0.0008252,-7.880844231807824,201.97308095296225
38.22,72.96828835,7188,164,192,43,-860.3821044921875,6174,0.12736677676439284,0.0008213000000000001,-5.380307939648628,143.72837810516359
38.5,77.17846729000001,7350,168,196,43,-818.0111911349826,6338,0.12377065850628746,0.0008172,-3.00923283762402,127.04136386447483
38.62,78.58509999,7501,172,200,43,-776.8268528988486,6489,0.11831777993785708,0.0008134250000000001,-6.794522876802244,113.42392248856395
38.51,77.82013084,7644,176,204,43,-731.9453874860491,6638,0.1133952449475016,0.0008097,-5.981217363902501,123.50374908447266
38.88,78.18803749,7822,180,208,43,-699.1128819783529,6802,0.10833002300933003,0.0008056,-4.121162004768848,100.9729634920756
38.89,78.76444625,7991,185,212,43,-653.4402465820312,6981,0.10240133636527592,0.000801125,-6.419749359289805,79.1918808831109
38.91,79.06453898,8149,189,216,43,-608.9986416129178,7134,0.0960061808311662,0.0007973,-5.8430082922758055,81.38844840471134
38.84,77.96103038999999,8301,193,220,42,-580.0149522261186,7288,0.09060437401587312,0.00079345,-4.381073320453817,79.43810272216797
38.85,79.02317066999998,8462,197,224,42,-540.2946339142628,7449,0.08595222578598903,0.0007894250000000001,-5.106436691223046,68.35432463425856
38.72,85.15452508999999,8583,200,228,42,-518.5045309066772,7568,0.08451247215270996,0.00078645,4.000550016760826,192.92575931549072
